crop,rainfall,temperature,area,yield
Tomato,535.1,25.2,3.5,170.41
Soybean,849.0,22.4,3.46,13.03
Soybean,591.8,28.9,2.08,6.02
Maize,800.1,19.5,2.0,9.88
Soybean,575.7,29.9,0.64,1.69
Maize,753.7,31.0,4.5,26.39
Rice,1254.7,29.6,9.34,52.13
Cotton,720.4,33.5,3.1,9.02
Wheat,893.2,18.9,11.64,19.81
Potato,661.7,10.6,2.39,39.99
Rice,1730.6,30.4,8.42,34.83
Maize,1181.4,29.1,5.44,23.53
Potato,588.0,14.1,3.4,76.89
Sugarcane,1637.3,36.8,3.13,165.91
Soybean,511.6,21.1,1.31,3.64
Soybean,811.3,27.7,0.79,1.79
Cotton,630.9,27.2,6.89,14.25
Rice,1601.2,31.0,7.87,24.32
Sugarcane,1454.8,26.2,2.38,134.48
Potato,727.9,21.7,4.2,119.75
Wheat,724.9,13.9,9.5,25.15
Soybean,462.3,18.0,5.17,10.95
Potato,707.4,19.2,0.52,7.0
Tomato,664.6,22.1,3.73,114.24
Tomato,690.0,27.8,2.61,107.84
Rice,1285.3,29.4,3.03,16.45
Soybean,799.9,23.3,6.96,21.2
Potato,574.0,10.8,0.49,6.28
Sugarcane,1544.2,31.7,3.28,242.67
Tomato,651.4,18.8,3.76,132.21
Wheat,622.6,20.0,8.95,33.01
Sugarcane,1370.9,37.2,6.6,395.48
Rice,1855.2,21.0,1.32,5.29
Rice,1384.6,20.7,1.36,4.17
Potato,789.8,14.8,2.25,48.51
Potato,486.9,18.4,4.41,78.45
Maize,679.1,21.4,7.84,22.73
Rice,1315.9,25.4,5.33,24.35
Cotton,975.3,32.4,8.73,19.86
Potato,666.6,18.6,2.32,44.45
Tomato,648.8,26.7,2.73,115.94
Maize,520.0,21.8,4.74,25.72
Potato,439.5,12.4,3.91,78.57
Maize,703.7,18.5,1.72,6.76
Potato,673.0,20.4,3.55,95.13
Potato,659.9,11.3,1.23,29.54
Maize,981.5,22.3,7.52,47.35
Tomato,681.4,21.8,3.86,134.55
Sugarcane,1010.4,29.9,10.94,420.66
Tomato,603.2,22.8,3.57,123.52
Potato,485.5,20.0,3.67,79.74
Cotton,664.9,30.2,2.47,6.32
Cotton,535.4,28.3,9.01,8.28
Rice,993.3,31.4,6.88,15.88
Rice,1129.6,29.0,6.39,21.6
Potato,444.8,16.7,2.04,36.21
Sugarcane,1672.3,29.4,11.34,806.54
Soybean,555.8,26.4,2.83,6.45
Maize,1082.3,18.8,6.08,32.44
Sugarcane,1447.1,31.0,12.55,703.45
Soybean,633.3,15.3,3.23,8.79
Rice,1179.0,24.8,0.84,4.15
Rice,1706.0,28.1,6.54,21.52
Maize,876.4,28.3,1.1,7.18
Sugarcane,1606.6,35.7,9.16,454.8
Cotton,773.2,22.1,4.23,7.36
Wheat,496.7,20.0,3.06,12.45
Wheat,715.9,23.5,6.08,12.22
Sugarcane,1760.2,28.4,10.95,385.49
Soybean,747.3,15.6,4.72,14.87
Potato,482.8,12.0,2.43,72.33
Soybean,735.5,29.2,3.38,6.04
Potato,581.1,13.8,2.78,84.46
Potato,455.8,10.2,2.88,94.14
Wheat,354.0,16.1,5.13,11.69
Sugarcane,1581.9,24.2,5.17,201.26
Cotton,764.3,25.0,5.9,14.13
Maize,984.9,23.3,4.96,16.04
Maize,641.2,31.7,5.29,33.06
Rice,1723.0,20.9,2.77,13.01
Tomato,634.0,21.8,3.38,149.55
Potato,414.1,19.6,3.19,47.14
Tomato,658.6,24.6,1.95,55.02
Cotton,623.0,31.0,8.14,11.05
Wheat,541.3,23.7,2.75,10.07
Maize,885.5,19.2,4.62,24.53
Cotton,698.7,23.7,7.35,12.25
Sugarcane,1218.2,36.6,13.96,491.72
Potato,444.1,18.9,3.36,76.58
Cotton,593.7,22.4,0.77,1.53
Sugarcane,1540.7,27.1,13.37,982.71
Rice,1396.4,24.6,3.72,19.81
Tomato,632.2,26.8,0.8,35.98
Cotton,798.9,22.2,5.06,13.94
Rice,1152.9,30.7,6.11,17.06
Tomato,409.7,20.6,0.31,6.07
Potato,705.1,12.9,4.05,101.31
Sugarcane,1472.3,36.5,8.41,519.32
Maize,990.9,30.5,4.76,15.28
Wheat,518.0,22.3,0.88,2.75
Rice,1687.9,21.7,7.52,38.63
Wheat,746.3,20.3,3.66,6.83
Cotton,810.5,27.5,7.43,22.53
Maize,650.5,23.0,4.03,11.65
Wheat,371.4,19.1,11.02,27.3
Maize,586.8,24.3,2.25,5.73
Cotton,880.2,22.7,4.77,13.78
Maize,1024.9,30.2,2.63,8.44
Potato,489.2,15.7,1.71,46.48
Cotton,699.3,26.7,8.48,23.73
Sugarcane,1767.9,34.7,5.25,263.49
Wheat,785.8,23.6,6.68,17.78
Wheat,392.5,22.7,0.96,3.26
Cotton,536.4,25.5,5.84,12.56
Rice,1651.9,26.3,2.49,7.6
Rice,1655.2,33.5,3.39,10.33
Tomato,480.2,25.5,0.21,8.92
Tomato,459.2,25.7,0.46,10.48
Cotton,972.9,24.2,5.39,13.09
Rice,948.8,29.8,4.52,21.48
Maize,1057.9,21.5,3.34,17.36
Potato,532.0,19.8,1.34,19.84
Cotton,919.2,33.5,6.25,17.12
Potato,742.2,15.8,1.63,47.93
Wheat,874.3,17.6,2.04,6.51
Potato,510.9,15.3,1.18,21.14
Potato,663.4,13.4,4.37,108.5
Maize,612.0,20.1,3.22,16.73
Soybean,735.3,20.5,0.57,1.23
Maize,682.1,19.7,7.7,26.18
Sugarcane,1001.6,36.3,13.9,514.58
Maize,649.1,31.1,3.47,12.77
Soybean,782.1,24.8,7.74,25.2
Soybean,493.5,16.4,1.45,1.97
Soybean,542.7,27.2,4.42,10.47
Tomato,663.9,22.8,2.33,105.19
Potato,539.0,19.3,0.73,10.46
Rice,1296.7,34.5,3.23,10.88
Cotton,528.5,27.1,9.31,19.04
Rice,1712.5,26.1,1.21,7.07
Tomato,415.6,25.5,1.72,47.57
Potato,511.8,15.0,2.86,60.98
Potato,649.9,16.3,0.52,12.38
Wheat,813.2,24.8,1.74,4.7
Rice,1354.5,32.0,4.45,19.32
Rice,1137.5,34.5,5.61,23.54
Maize,1122.4,24.6,1.0,3.31
Wheat,737.5,10.1,5.29,11.62
Sugarcane,1013.7,25.2,4.0,138.29
Wheat,474.7,23.6,4.09,7.65
Soybean,792.1,24.0,2.29,6.03
Wheat,851.8,15.9,9.58,23.53
Maize,941.2,27.0,6.78,42.06
Maize,899.8,26.3,3.4,10.67
Rice,1473.7,23.6,4.21,12.09
Potato,671.4,16.5,1.92,47.07
Rice,1012.4,31.9,2.54,8.44
Tomato,456.4,27.7,1.58,70.71
Cotton,957.3,23.4,5.81,7.01
Cotton,507.7,28.1,3.9,6.84
Tomato,459.2,22.6,1.04,55.5
Cotton,859.9,29.4,3.86,12.51
Tomato,618.4,25.9,0.8,22.83
Potato,466.7,14.0,1.89,30.45
Tomato,408.2,23.3,3.85,165.4
Rice,1137.9,25.8,1.24,4.33
Rice,1074.9,21.0,7.1,14.46
Potato,665.1,21.5,0.3,7.36
Cotton,817.4,30.1,5.53,6.4
Wheat,465.9,13.7,2.64,9.59
Potato,530.9,11.9,3.79,115.37
Potato,542.1,11.0,3.88,46.0
Wheat,725.6,24.6,9.0,26.87
Rice,1409.7,32.2,7.98,19.74
Soybean,602.4,27.0,5.54,9.88
Sugarcane,1471.6,37.4,1.55,78.32
Wheat,622.5,16.8,7.85,28.28
Soybean,831.9,16.2,5.22,12.81
Wheat,534.0,11.6,10.17,35.56
Cotton,842.8,26.5,0.96,3.16
Sugarcane,1137.9,26.2,1.78,111.62
Cotton,532.8,34.9,2.39,2.72
Rice,1109.0,23.5,7.8,38.72
Soybean,613.8,23.4,7.02,17.94
Maize,643.8,18.4,4.91,25.24
Cotton,674.3,32.2,7.23,19.57
Tomato,626.5,19.9,1.18,32.73
Sugarcane,1562.4,26.1,8.4,341.1
Rice,1827.1,28.7,3.05,10.16
Rice,1743.0,22.8,8.3,20.99
Sugarcane,1312.5,29.4,14.9,852.46
Tomato,577.9,25.6,2.82,99.29
Rice,1088.3,20.5,7.82,24.19
Wheat,744.0,12.1,7.19,12.92
Potato,774.8,19.2,4.55,108.34
Sugarcane,1694.2,30.7,9.3,485.56
Potato,685.3,16.2,2.05,33.5
Wheat,610.7,17.3,2.88,13.38
Sugarcane,1714.6,28.8,2.16,114.86
Soybean,794.1,18.6,5.12,12.75
Rice,1818.4,22.4,7.14,27.68
Sugarcane,1441.5,37.6,1.33,86.03
Wheat,680.7,15.6,9.33,34.47
Tomato,653.1,26.1,1.3,40.73
Soybean,868.7,16.1,5.4,9.22
Soybean,841.7,21.4,4.77,12.1
Cotton,700.2,24.5,8.72,9.48
Soybean,727.5,27.5,4.97,10.53
Potato,573.0,15.1,4.01,110.81
Cotton,839.3,31.6,7.87,23.85
Rice,1837.4,25.4,1.22,3.04
Potato,703.2,17.4,2.1,80.88
Rice,1407.2,31.0,3.51,10.41
Sugarcane,1625.5,33.4,11.71,727.44
Sugarcane,1059.8,35.7,9.57,319.52
Wheat,406.4,22.4,11.33,24.73
Potato,479.6,19.6,2.21,53.88
Potato,416.5,18.2,3.12,42.85
Soybean,752.3,18.5,7.1,12.48
Cotton,734.1,25.4,2.86,5.89
Soybean,763.6,19.3,2.19,3.92
Potato,625.7,15.1,1.98,29.03
Cotton,985.6,29.6,9.08,21.97
Wheat,838.3,15.7,8.25,36.31
Tomato,489.6,23.4,2.03,39.42
Wheat,496.1,17.9,1.89,6.22
Potato,480.1,20.8,4.09,120.73
Maize,580.4,19.9,3.66,14.24
Sugarcane,1511.0,33.2,2.05,102.67
Rice,1034.5,25.1,9.6,21.03
Tomato,509.9,23.2,3.85,118.66
Sugarcane,1210.7,27.2,11.98,441.36
Wheat,630.0,10.7,6.81,24.05
Cotton,777.6,28.5,7.72,22.06
Maize,1084.2,27.7,6.78,25.47
Maize,993.6,21.7,5.38,14.46
Rice,1864.8,20.7,7.91,29.67
Tomato,670.8,25.8,0.42,14.79
Maize,1076.5,24.1,4.39,16.57
Sugarcane,1529.3,29.9,2.66,168.97
Sugarcane,1460.2,33.2,8.91,450.38
Cotton,953.7,30.6,4.1,10.94
Maize,878.6,27.4,1.01,3.39
Sugarcane,1140.3,25.4,5.84,256.23
Sugarcane,1679.7,25.7,13.15,772.72
Potato,770.8,10.6,2.76,71.61
Soybean,539.5,26.6,5.18,15.2
Cotton,704.6,27.5,2.84,2.79
Wheat,898.1,18.5,5.3,17.17
Wheat,828.0,14.6,4.51,20.04
Tomato,498.7,21.4,0.72,27.14
Soybean,762.3,22.3,5.66,12.37
Potato,704.4,19.0,0.45,8.13
Cotton,968.3,31.3,4.7,9.28
Wheat,676.4,15.3,0.7,2.12
Soybean,457.1,19.2,3.55,8.85
Sugarcane,1387.2,31.7,5.8,234.31
Wheat,895.4,24.0,0.67,1.95
Cotton,911.9,32.2,1.94,5.26
Soybean,863.9,27.0,2.97,8.33
Potato,508.8,21.1,0.64,17.49
Rice,1263.2,31.2,5.23,20.5
Tomato,695.6,21.2,3.39,57.93
Soybean,586.0,27.2,5.68,17.21
Soybean,884.3,16.4,2.9,7.67
Maize,515.7,26.3,5.52,27.58
Wheat,827.2,24.2,7.16,18.34
Rice,912.1,25.3,9.58,27.09
Rice,1364.2,27.0,7.96,41.54
Potato,507.1,11.0,1.7,44.19
Cotton,592.6,22.3,1.1,1.13
Rice,1965.0,31.6,6.48,14.02
Rice,945.4,22.3,0.56,1.58
Sugarcane,1311.3,32.5,6.11,261.1
Rice,1761.0,26.3,0.78,2.1
Cotton,652.1,34.3,7.71,11.89
Soybean,876.7,18.5,3.08,5.33
Rice,1524.9,26.0,6.45,19.17
Sugarcane,1468.1,31.7,5.47,263.48
Wheat,640.4,14.4,8.45,31.43
Maize,510.8,22.0,3.62,17.17
Tomato,411.9,25.2,2.26,84.01
Potato,593.1,11.2,1.96,38.57
Sugarcane,1276.7,30.5,6.17,318.63
Potato,651.0,20.9,4.81,122.59
Tomato,608.1,18.3,0.51,13.29
Soybean,698.7,29.3,3.22,8.84
Soybean,500.6,23.0,7.13,11.09
Tomato,405.9,22.2,3.28,83.94
Cotton,683.3,29.8,2.45,3.35
Wheat,657.5,10.5,11.47,41.8
Maize,741.6,21.6,5.71,15.71
Rice,1952.8,32.4,6.46,29.82
Soybean,765.8,21.5,7.27,22.87
Sugarcane,1277.8,30.3,12.15,552.68
Tomato,636.2,24.8,1.54,46.64
Rice,1700.8,26.9,4.25,20.51
Maize,829.1,21.1,1.57,9.67
Soybean,665.1,28.9,4.97,15.65
Potato,560.6,14.3,0.27,6.51
Tomato,451.1,24.1,1.79,65.89
Sugarcane,1033.5,34.2,13.57,757.89
Tomato,617.5,18.9,1.88,78.38
Tomato,667.6,20.7,1.45,61.64
Wheat,557.8,13.1,5.07,10.3
Cotton,871.9,24.8,0.99,1.26
Potato,716.3,20.0,2.52,60.18
Wheat,407.0,15.8,9.97,25.11
Rice,968.7,27.4,8.07,35.05
Maize,954.3,20.5,1.83,8.9
Sugarcane,1126.0,31.7,14.53,602.03
Tomato,575.3,27.6,1.91,72.53
Sugarcane,1352.2,27.9,3.3,220.2
Soybean,833.3,20.9,7.47,18.55
Sugarcane,1269.0,30.7,8.85,625.39
Rice,1415.3,32.8,2.27,5.69
Maize,1005.8,18.0,7.83,47.49
Wheat,764.6,23.1,9.34,19.16
Cotton,537.7,27.1,7.86,21.72
Potato,449.5,18.0,1.51,22.63
Wheat,805.4,21.4,2.72,7.69
Wheat,485.1,10.5,3.91,13.05
Potato,654.1,13.8,1.86,40.75
Potato,440.7,14.0,1.7,54.66
Soybean,504.8,26.2,1.33,3.08
Soybean,827.2,18.7,0.52,0.96
Maize,689.1,27.6,3.22,11.04
Sugarcane,1280.0,33.4,5.44,335.0
Cotton,514.6,25.5,6.85,10.64
Tomato,420.5,19.9,3.46,144.37
Rice,1913.0,23.0,3.87,19.18
Wheat,385.0,12.9,2.93,5.0
Potato,640.1,16.1,0.66,12.72
Cotton,540.9,34.4,4.29,6.53
Potato,679.6,18.9,3.93,60.49
Maize,1089.1,18.9,3.38,16.61
Cotton,551.0,31.9,2.81,6.44
Rice,1889.7,28.9,9.94,44.52
Sugarcane,1779.1,35.1,3.57,200.76
Cotton,759.0,26.4,3.44,7.38
Soybean,469.4,28.0,7.1,8.98
Wheat,345.1,14.3,1.62,2.95
Rice,1733.1,32.8,8.7,20.09
Rice,1537.3,31.7,5.64,17.47
Soybean,840.4,17.6,1.33,2.66
